"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp","Family_Genus"
"Otu0002",55.4481888597395,-1.40698794413127,0.442739305782197,-3.17791514273961,0.00148338158781417,0.0160866653187916,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","1.6e-02","Control","Otu0002","D0_nasal_InjectedvsControl","Pseudomonadaceae Pseudomonas"
"Otu0003",24.03530265728,-1.43277150811398,0.473282156564302,-3.02730937188696,0.00246741286891332,0.023776887645892,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","2.4e-02","Control","Otu0003","D0_nasal_InjectedvsControl","Moraxellaceae Psychrobacter"
"Otu0012",5.05200629180048,-2.67417352223376,0.591172546230024,-4.52350762782757,6.08231264655538e-06,0.000257890056213948,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","0.0e+00","Control","Otu0012","D0_nasal_InjectedvsControl","Oxalobacteraceae Janthinobacterium"
"Otu0015",35.1316596948501,-1.05515509806733,0.284381873087135,-3.71034583397665,0.00020697630836224,0.00438789773727949,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9","4.0e-03","Control","Otu0015","D0_nasal_InjectedvsControl","Prevotellaceae Prevotella_9"
"Otu0019",17.2321105323072,-1.37808245175767,0.334037779322433,-4.12552871879639,3.69884020034195e-05,0.000980192653090616,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella","1.0e-03","Control","Otu0019","D0_nasal_InjectedvsControl","Veillonellaceae Veillonella"
"Otu0020",21.6942745757304,-1.48812582969906,0.481415705402144,-3.09114516414867,0.00199386131326914,0.0201285046863361,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","2.0e-02","Control","Otu0020","D0_nasal_InjectedvsControl","Sphingobacteriaceae Sphingobacterium"
"Otu0029",108.413752884607,0.926318133499101,0.218542817375623,4.23861165799369,2.24906315862354e-05,0.000794668982713651,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified","1.0e-03","Injected","Otu0029","D0_nasal_InjectedvsControl","Ruminococcaceae Ruminococcaceae_unclassified"
"Otu0031",6.07906563871216,-1.55915163924293,0.468819961481139,-3.32569380006158,0.00088198761666157,0.0116863359207658,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Mitsuokella","1.2e-02","Control","Otu0031","D0_nasal_InjectedvsControl","Veillonellaceae Mitsuokella"
"Otu0032",86.6264579577547,-1.16013883221644,0.332103115449059,-3.49330909060501,0.000477073964481966,0.00777997542078283,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","8.0e-03","Control","Otu0032","D0_nasal_InjectedvsControl","Enterobacteriaceae Escherichia-Shigella"
"Otu0045",10.9492135977839,-0.915630055787255,0.312547345355587,-2.92957233325894,0.00339428803271734,0.0299828776223365,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005","3.0e-02","Control","Otu0045","D0_nasal_InjectedvsControl","Ruminococcaceae Ruminococcaceae_UCG-005"
