OTU,FS1BP10NWD0,FS1BP10NWD4,FS1BP11NWD4,FS1BP11TT,FS1BP12NWD0,FS1BP12NWD4,FS1BP12TT,FS1BP13NWD0,FS1BP13NWD4,FS1BP13TT,FS1BP14NWD0,FS1BP14NWD4,FS1BP14TT,FS1BP15NWD0,FS1BP15NWD4,FS1BP16NWD0,FS1BP16NWD4,FS1BP17NWD0,FS1BP17NWD4,FS1BP17TT,FS1BP18NWD0,FS1BP18TT,FS1BP19NWD0,FS1BP19NWD4,FS1BP19TT,FS1BP1NWD0,FS1BP1NWD4,FS1BP1TT,FS1BP20NWD4,FS1BP20TT,FS1BP21NWD0,FS1BP21NWD4,FS1BP21TT,FS1BP22NWD0,FS1BP22NWD4,FS1BP22NWD7,FS1BP23NWD4,FS1BP23NWD7,FS1BP23TT,FS1BP24NWD4,FS1BP24NWD7,FS1BP25NWD0,FS1BP25NWD4,FS1BP25NWD7,FS1BP26NWD0,FS1BP26NWD4,FS1BP26NWD7,FS1BP26TT,FS1BP27NWD0,FS1BP27NWD4,FS1BP27NWD7,FS1BP28NWD4,FS1BP28NWD7,FS1BP28TT,FS1BP29NWD0,FS1BP29NWD4,FS1BP29NWD7,FS1BP29TT,FS1BP2NWD0,FS1BP2NWD4,FS1BP30NWD0,FS1BP30NWD4,FS1BP30NWD7,FS1BP30TT,FS1BP31NWD0,FS1BP31NWD4,FS1BP31NWD7,FS1BP31TT,FS1BP32NWD0,FS1BP32NWD4,FS1BP32NWD7,FS1BP33NWD4,FS1BP33NWD7,FS1BP33TT,FS1BP34NWD0,FS1BP34NWD4,FS1BP34NWD7,FS1BP34TT,FS1BP35NWD0,FS1BP35NWD4,FS1BP35NWD7,FS1BP36NWD0,FS1BP36NWD4,FS1BP36NWD7,FS1BP37NWD0,FS1BP37NWD4,FS1BP37NWD7,FS1BP38NWD0,FS1BP38NWD4,FS1BP38NWD7,FS1BP39NWD0,FS1BP39NWD4,FS1BP39NWD7,FS1BP39TT,FS1BP3NWD0,FS1BP3NWD4,FS1BP3TT,FS1BP40NWD0,FS1BP40NWD4,FS1BP40NWD7,FS1BP41NWD0,FS1BP41NWD4,FS1BP41NWD7,FS1BP41TT,FS1BP42NWD0,FS1BP42NWD4,FS1BP42NWD7,FS1BP42TT,FS1BP43NWD11,FS1BP43NWD14,FS1BP43NWD4,FS1BP43NWD7,FS1BP44NWD0,FS1BP44NWD11,FS1BP44NWD14,FS1BP44NWD4,FS1BP44NWD7,FS1BP44TT,FS1BP45NWD0,FS1BP45NWD11,FS1BP45NWD14,FS1BP45NWD4,FS1BP45NWD7,FS1BP45TT,FS1BP46NWD0,FS1BP46NWD11,FS1BP46NWD14,FS1BP46NWD4,FS1BP46NWD7,FS1BP47NWD0,FS1BP47NWD11,FS1BP47NWD14,FS1BP47NWD4,FS1BP47NWD7,FS1BP48NWD0,FS1BP48NWD11,FS1BP48NWD14,FS1BP48NWD4,FS1BP48NWD7,FS1BP49NWD0,FS1BP49NWD11,FS1BP49NWD14,FS1BP49NWD4,FS1BP49NWD7,FS1BP4NWD0,FS1BP4NWD4,FS1BP4TT,FS1BP50NWD0,FS1BP50NWD11,FS1BP50NWD14,FS1BP50NWD4,FS1BP50NWD7,FS1BP51NWD0,FS1BP51NWD11,FS1BP51NWD14,FS1BP51NWD4,FS1BP51NWD7,FS1BP51TT,FS1BP52NWD11,FS1BP52NWD14,FS1BP52NWD4,FS1BP52NWD7,FS1BP52TT,FS1BP53NWD0,FS1BP53NWD11,FS1BP53NWD14,FS1BP53NWD4,FS1BP53NWD7,FS1BP53TT,FS1BP54NWD0,FS1BP54NWD4,FS1BP54NWD7,FS1BP55NWD0,FS1BP55NWD11,FS1BP55NWD14,FS1BP55NWD4,FS1BP55NWD7,FS1BP56NWD0,FS1BP56NWD11,FS1BP56NWD4,FS1BP56NWD7,FS1BP57NWD0,FS1BP57NWD11,FS1BP57NWD14,FS1BP57NWD4,FS1BP57NWD7,FS1BP57TT,FS1BP58NWD0,FS1BP58NWD11,FS1BP58NWD14,FS1BP58NWD4,FS1BP58NWD7,FS1BP58TT,FS1BP59NWD0,FS1BP59NWD11,FS1BP59NWD14,FS1BP59NWD4,FS1BP59NWD7,FS1BP59TT,FS1BP5NWD0,FS1BP5NWD4,FS1BP5TT,FS1BP60NWD0,FS1BP60NWD11,FS1BP60NWD14,FS1BP60NWD4,FS1BP60NWD7,FS1BP61NWD11,FS1BP61NWD14,FS1BP61NWD4,FS1BP61NWD7,FS1BP63NWD0,FS1BP63NWD11,FS1BP63NWD14,FS1BP63NWD4,FS1BP63NWD7,FS1BP64NWD0,FS1BP64NWD11,FS1BP64NWD14,FS1BP64NWD4,FS1BP64NWD7,FS1BP65NWD0,FS1BP65NWD11,FS1BP65NWD14,FS1BP65NWD4,FS1BP65NWD7,FS1BP65TT,FS1BP66NWD0,FS1BP66NWD11,FS1BP66NWD14,FS1BP66NWD4,FS1BP66NWD7,FS1BP66TT,FS1BP6NWD0,FS1BP6NWD4,FS1BP7NWD0,FS1BP7NWD4,FS1BP7TT,FS1BP8NWD0,FS1BP8NWD4,FS1BP9NWD0,FS1BP9NWD4,Taxonomy
Otu0001,37,879,278,310,5,55,47,15,587,131,9,643,113,43,711,28,210,747,1011,226,1110,189,24,270,86,38,11,126,602,360,100,292,117,32,5,3,39,6,98,25,98,13,233,87,233,422,168,218,1031,508,199,390,221,787,12,609,400,172,15,16,24,33,491,97,345,332,361,55,826,475,627,449,1346,80,24,786,1148,48,29,271,749,21,401,1193,18,614,801,123,645,938,30,381,355,27,68,6,71,54,401,798,5,1059,817,157,962,717,694,168,1032,255,180,83,28,1085,215,173,11,39,23,429,21,22,13,202,31,661,110,62,1,117,469,97,350,377,739,296,57,297,534,682,406,74,349,321,31,6,34,68,580,66,89,629,38,119,101,161,473,94,809,70,1178,584,249,16,97,3,711,590,105,60,250,283,37,538,291,133,888,9,917,555,883,443,200,49,203,824,20,848,275,80,566,1196,290,27,352,9,494,749,84,4,447,67,32,112,55,970,1081,278,240,1536,894,8,45,74,186,403,9,24,82,589,663,438,12,49,600,543,105,530,104,292,356,478,282,38,495,15,339,483,619,404,820,351,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;
Otu0002,16,1,2,5,3,0,0,2,1,1,2,1,0,9,1,13,1,3,0,0,1,9,3,0,0,24,1,18,4,4,2,0,2,2,1,0,1,1,13,2,2,2,0,0,3,0,1,10,6,0,2,0,0,7,0,1,0,0,35,0,1,0,11,6,1,0,0,0,0,1,0,0,0,6,0,1,2,2,5,1,0,0,1,0,2,0,2,0,11,1,4,1,1,0,18,1,26,2,0,0,1,0,1,0,2,1,0,4,5,941,0,1,0,2,1170,1,0,11,2,1,69,3,0,11,24,5,16,0,1,1,0,1004,0,5,1,1,5,0,1,5,0,1137,1,1,19,1,8,10,1,929,0,0,3,2,16,0,6,5,1,465,3,1,5,1,1,6,2,1,1,6,2,2,3,0,2,0,0,1,0,1,0,0,28,1301,2,0,2,2,465,0,1,1,6,0,868,0,0,1,3,4,0,0,3,1048,0,2,1,680,696,1,3,2,1098,145,7,0,0,1231,130,0,3,2,620,3,1,1,21,2,844,92,0,0,0,9,0,5,0,4,8,0,5,0,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
Otu0003,7,2,0,20,1,0,2,6,0,0,0,0,3,9,0,19,1,1,0,6,1,7,6,0,4,18,1,3,2,0,0,0,0,2,1,1,1,0,21,0,0,0,2,1,2,0,2,6,6,0,0,0,0,15,1,0,1,4,10,0,4,0,10,10,0,0,0,3,1,1,0,0,0,2,0,0,0,7,0,1,0,5,0,0,2,0,0,0,13,0,1,0,1,0,2,0,1,1,0,0,1,0,0,3,0,1,0,5,1,4,1,0,1,0,48,2,0,3,3,1,1142,5,0,1,1,0,771,1,0,0,0,127,0,5,0,1,914,0,1,4,0,16,0,0,7,0,12,2,1,187,0,0,1,3,1105,0,0,1,0,13,0,1,7,0,3,466,1,0,18,0,0,2,4,0,971,1,0,1,0,0,1,0,7,38,2,2,0,1,224,152,0,2,15,2,339,414,0,1,10,0,0,32,0,386,34,0,0,0,2,0,0,1,17,41,2,4,0,98,166,0,1,1,41,1348,1,0,0,1,35,163,0,0,0,3,0,2,0,7,2,1,1,0,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
Otu0004,23,2,7,1,1,0,1,1030,145,0,1133,347,0,464,9,1518,329,375,24,3,11,0,3,0,1,23,2,0,5,0,1,250,0,428,75,12,1187,336,2,30,2,1204,575,1355,804,155,195,0,179,31,12,1,3,2,755,416,612,0,71,4,736,47,201,0,482,835,278,0,12,4,8,32,126,3,5,4,216,1,899,221,898,1047,42,122,11,2,1,0,17,0,4,269,797,1,8,0,2,776,267,619,1094,128,286,2,123,52,21,0,50,13,4,1,301,56,0,27,7,1,1149,119,0,1014,433,0,215,16,1,30,15,735,103,0,340,275,532,18,1,143,177,95,11,1,51,19,113,2,0,4,223,0,4,284,9,57,2,189,527,0,264,0,1,16,0,950,69,0,193,80,0,614,320,294,571,149,1,335,262,1027,294,384,728,602,4,5,116,232,2,2,0,1,2,3,0,9,0,0,3,3,0,715,329,0,7,1,0,1,1,0,0,2,8,1494,2,2,268,154,739,2,9,515,125,266,1,14,185,86,0,14,0,4,2,0,0,284,22,1748,1054,2,623,88,211,3,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxellaceae_unclassified;
Otu0005,8,0,1,6,1,0,0,4,0,0,1,0,0,6,0,8,1,4,1,6,0,20,0,0,0,10,0,6,3,1,0,0,3,0,2,1,0,1,8,0,0,4,1,0,1,0,1,0,8,0,1,0,3,0,0,0,1,3,12,0,7,0,9,20,0,0,0,0,2,1,0,0,0,0,2,0,0,2,2,0,0,3,0,0,1,0,1,0,4,0,7,0,0,0,2,0,3,1,0,0,0,1,0,5,0,1,0,5,1,0,0,0,0,0,0,0,0,3,1,0,0,0,2,4,0,2,9,1,0,0,1,0,0,5,0,0,0,0,0,3,0,2,0,0,4,1,1,1,1,323,1,0,7,0,4,0,1,0,0,866,3,0,0,0,0,0,1,0,7,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1248,2,0,8,0,0,1209,1,0,5,2,0,18,0,2,0,0,0,514,576,0,0,1,34,17,0,0,1,264,896,0,1,0,1,4,0,0,3,0,119,261,0,0,0,3,0,0,0,0,0,0,0,0,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
Otu0006,58,154,241,388,706,246,91,232,80,432,171,78,201,48,168,23,475,237,99,202,387,320,114,307,53,52,516,177,111,308,792,426,208,1172,127,66,90,50,128,667,35,31,22,26,133,17,13,244,83,34,7,128,36,261,479,63,53,306,869,276,30,12,93,180,174,19,130,122,530,30,60,147,142,154,966,91,87,147,330,58,31,41,235,82,42,143,150,285,192,44,462,97,9,68,1179,277,96,329,97,20,9,82,83,105,206,72,56,257,320,29,695,76,1204,78,5,175,43,85,94,69,2,130,28,296,135,207,9,308,71,12,26,2,61,17,378,14,5,8,14,554,2,1,54,5,1223,570,185,1135,30,10,39,46,65,17,19,14,54,123,122,11,192,62,131,555,17,0,121,50,182,297,88,21,49,25,6,68,190,8,94,46,69,160,20,5,17,53,31,262,2,0,31,31,111,47,89,0,15,28,157,5,70,260,877,12,2,185,104,27,12,128,60,25,1,7,86,74,16,2,19,41,96,362,2,2,27,49,127,398,6,10,29,27,248,36,235,3,42,202,279,10,206,43,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
Otu0007,1258,282,2,0,163,78,0,177,36,0,41,29,0,4,8,13,1,10,53,0,60,1,1049,508,0,882,261,0,45,0,78,40,0,12,46,6,87,28,0,4,90,78,12,26,81,125,132,0,151,158,151,179,421,1,130,30,28,0,6,20,396,2,15,0,190,2,41,0,98,0,2,242,83,0,152,37,163,0,48,32,26,38,0,61,1059,188,295,250,175,182,17,92,102,0,23,76,0,25,82,65,152,25,78,2,69,198,234,0,37,3,6,1,5,153,1,29,0,1,29,28,1,10,27,2,6,10,0,8,1,64,16,0,112,182,16,67,0,77,29,187,21,1,186,408,14,3,0,149,28,17,58,45,1002,6,1,795,100,0,319,0,2,243,0,41,5,0,1,4,0,215,94,399,12,273,0,18,71,158,67,18,37,90,0,0,40,310,0,61,3,0,16,207,0,1067,5,0,1068,302,0,268,198,0,191,2,0,209,144,14,0,4,764,25,0,3,10,7,130,0,0,20,93,68,2,2,297,334,0,90,5,1,247,398,0,6,129,26,6,0,18,57,293,181,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxellaceae_unclassified;
Otu0008,3,54,90,5,4,152,0,3,158,0,4,102,22,39,123,12,132,6,120,5,18,2,6,99,2,17,32,0,114,2,1,58,1,4,211,253,21,150,0,78,140,4,59,30,6,111,117,4,6,71,99,69,25,3,3,63,38,0,4,93,11,205,27,0,5,70,44,0,4,153,68,121,18,0,7,93,3,0,5,209,6,11,161,52,30,173,45,4,11,54,7,125,27,0,12,70,6,6,127,35,0,57,37,1,13,104,54,2,7,8,21,273,6,29,128,65,247,2,8,57,47,43,196,1,23,37,58,73,236,0,63,55,41,41,10,96,143,119,72,5,124,67,80,92,4,91,2,7,62,28,58,58,4,223,264,39,36,3,32,41,31,69,9,3,291,56,77,45,3,3,112,14,14,118,220,105,24,1,77,79,12,4,31,149,150,40,2,5,36,181,155,37,10,20,30,67,76,59,8,3,15,9,1,38,37,78,46,16,13,53,24,2,1,53,79,47,4,1,18,58,50,3,1,19,72,73,0,12,3,36,152,56,0,20,138,2,23,3,5,55,2,106,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
Otu0009,3,80,211,7,0,145,3,0,112,6,1,99,13,5,94,3,86,0,70,0,2,3,1,75,3,13,78,0,102,2,1,77,4,0,75,357,58,366,11,96,479,2,116,52,2,124,113,4,3,91,112,103,52,12,3,56,25,1,7,116,3,292,64,1,1,87,56,1,2,157,15,116,3,3,1,104,5,0,0,152,12,1,219,75,5,78,71,1,27,70,7,71,16,2,2,80,1,2,81,6,2,31,3,0,1,54,16,0,28,7,42,276,4,17,51,74,388,3,3,47,82,44,301,3,1,46,59,88,382,3,47,26,72,83,2,63,178,175,82,5,42,57,110,169,4,136,8,3,52,5,177,79,7,322,58,66,50,3,97,37,47,49,8,4,380,52,95,75,0,2,117,61,0,82,33,152,9,0,53,93,7,0,18,26,164,18,0,1,8,25,167,14,3,4,5,14,53,122,8,1,45,9,1,8,42,45,70,1,43,19,37,1,1,226,130,41,2,0,39,32,34,1,0,97,74,32,1,4,0,46,105,9,1,2,109,4,44,4,3,189,2,184,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;
Otu0010,3,0,0,0,0,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,4,16,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,1,0,4,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,0,3,2,0,0,0,2,0,1,0,0,0,1,0,7,1,0,0,0,331,0,0,0,0,2,0,0,0,0,1,0,0,4,1,0,0,0,3,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,33,0,0,0,0,2,730,0,0,0,0,0,2,12,0,1,0,0,0,0,0,1,1252,0,0,5,132,0,0,1,50,5,0,0,0,1,2,0,0,0,690,0,0,0,6,0,207,2,0,0,0,11,0,3,0,9,0,0,1,0,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
