Sample,Day,Pig,Tissue,Treatment
FS1BP1NWD0,D0,1,NW,Control
FS1BP1NWD4,D4,1,NW,Control
FS1BP1TT,D4,1,TT,Control
FS1BP2NWD0,D0,2,NW,Control
FS1BP2NWD4,D4,2,NW,Control
FS1BP3NWD0,D0,3,NW,Control
FS1BP3NWD4,D4,3,NW,Control
FS1BP3TT,D4,3,TT,Control
FS1BP4NWD0,D0,4,NW,Control
FS1BP4NWD4,D4,4,NW,Control
FS1BP4TT,D4,4,TT,Control
FS1BP5NWD0,D0,5,NW,Control
FS1BP5NWD4,D4,5,NW,Control
FS1BP5TT,D4,5,TT,Control
FS1BP6NWD0,D0,6,NW,Control
FS1BP6NWD4,D4,6,NW,Control
FS1BP7NWD0,D0,7,NW,Control
FS1BP7NWD4,D4,7,NW,Control
FS1BP7TT,D4,7,TT,Control
FS1BP8NWD0,D0,8,NW,Injected
FS1BP8NWD4,D4,8,NW,Injected
FS1BP9NWD0,D0,9,NW,Injected
FS1BP9NWD4,D4,9,NW,Injected
FS1BP10NWD0,D0,10,NW,Injected
FS1BP10NWD4,D4,10,NW,Injected
FS1BP11NWD4,D4,11,NW,Injected
FS1BP11TT,D4,11,TT,Injected
FS1BP12NWD0,D0,12,NW,Injected
FS1BP12NWD4,D4,12,NW,Injected
FS1BP12TT,D4,12,TT,Injected
FS1BP13NWD0,D0,13,NW,Injected
FS1BP13NWD4,D4,13,NW,Injected
FS1BP13TT,D4,13,TT,Injected
FS1BP14NWD0,D0,14,NW,Injected
FS1BP14NWD4,D4,14,NW,Injected
FS1BP14TT,D4,14,TT,Injected
FS1BP15NWD0,D0,15,NW,Infeed
FS1BP15NWD4,D4,15,NW,Infeed
FS1BP16NWD0,D0,16,NW,Infeed
FS1BP16NWD4,D4,16,NW,Infeed
FS1BP17NWD0,D0,17,NW,Infeed
FS1BP17NWD4,D4,17,NW,Infeed
FS1BP17TT,D4,17,TT,Infeed
FS1BP18NWD0,D0,18,NW,Infeed
FS1BP18TT,D4,18,TT,Infeed
FS1BP19NWD0,D0,19,NW,Infeed
FS1BP19NWD4,D4,19,NW,Infeed
FS1BP19TT,D4,19,TT,Infeed
FS1BP20NWD4,D4,20,NW,Infeed
FS1BP20TT,D4,20,TT,Infeed
FS1BP21NWD0,D0,21,NW,Infeed
FS1BP21NWD4,D4,21,NW,Infeed
FS1BP21TT,D4,21,TT,Infeed
FS1BP22NWD0,D0,22,NW,Control
FS1BP22NWD4,D4,22,NW,Control
FS1BP22NWD7,D7,22,NW,Control
FS1BP23NWD4,D4,23,NW,Control
FS1BP23NWD7,D7,23,NW,Control
FS1BP23TT,D7,23,TT,Control
FS1BP24NWD4,D4,24,NW,Control
FS1BP24NWD7,D7,24,NW,Control
FS1BP25NWD0,D0,25,NW,Control
