Pig ID Numbers,Sow,Birth Room,DOB,Sex,Weight (Kg),Cassette #,Necropsy day ,NON/treatment,Pen ,Notes
1,1208,1,1/29/2016,M,5.6,0.718055556,4,NON,1A,
2,1211,2,1/30/2013,M,3,0.71875,4,NON,1A,
3,1207,2,1/28/2016,M,8.3,0.719444444,4,NON,1A,
4,1212,3,1/31/2016,M,4.7,0.720138889,4,NON,1A,
5,1209,3,1/30/2016,M,7.6,0.720833333,4,NON,1B,
6,1215,4,1/27/2016,F,4.3,0.721527778,4,NON,1B,room 4 scours/vomit
7,1214,4,1/30/2016,F,3.4,0.722222222,4,NON,1B,room 4 scours/vomit
8,1210,5,1/27/2016,M,5.8,0.722916667,4,IM - OTC,2A,
9,1213,5,1/29/2016,F,5,0.723611111,4,IM - OTC,2A,
10,1208,1,1/29/2016,M,2.7,0.724305556,4,IM - OTC,2A,
11,1211,2,1/30/2013,F,4.6,0.725,4,IM - OTC,2A,
12,1207,2,1/28/2016,F,7.8,0.725694444,4,IM - OTC,2B,
13,1212,3,1/31/2016,F,5,0.726388889,4,IM - OTC,2B,
14,1209,3,1/30/2016,F,4.3,0.727083333,4,IM - OTC,2B,
15,1215,4,1/27/2016,F,6.1,0.727777778,4,IF -OTC,3A,room 4 scours/vomit
16,1214,4,1/30/2016,F,3.2,0.728472222,4,IF -OTC,3A,room 4 scours/vomit
17,1210,5,1/27/2016,M,3.4,0.729166667,4,IF -OTC,3A,
18,1213,5,1/29/2016,M,4.7,0.729861111,4,IF -OTC,3A,
19,1208,1,1/29/2016,F,5,0.730555556,4,IF -OTC,3B,
20,1211,2,1/30/2013,M,4.5,0.73125,4,IF -OTC,3B,
21,1207,2,1/28/2016,M,7.6,0.731944444,4,IF -OTC,3B,
22,1212,3,1/31/2016,M,5.6,0.732638889,7,NON diet ,1A,
23,1209,3,1/30/2016,F,7.1,0.733333333,7,NON diet ,1A,
24,1215,4,1/27/2016,M,6.6,0.734027778,7,NON diet ,1A,room 4 scours/vomit
25,1214,4,1/30/2016,M,5.3,0.734722222,7,NON diet ,1B,room 4 scours/vomit
26,1210,5,1/27/2016,F,4.6,0.735416667,7,NON diet ,1B,
27,1213,5,1/29/2016,M,4.6,0.736111111,7,NON diet ,1B,
28,1211,2,1/30/2013,F,3.6,0.736805556,7,NON diet ,1B,
29,1212,3,1/31/2016,F,5.6,0.7375,7,IM - OTC,2A,
30,1214,4,1/30/2016,M,4.6,0.738194444,7,IM - OTC,2A,room 4 scours/vomit
31,1210,5,1/27/2016,F,3.3,0.738888889,7,IM - OTC,2A,
32,1213,5,1/29/2016,F,5,0.739583333,7,IM - OTC,2B,
33,1208,1,1/29/2016,F,6.7,0.740277778,7,IM - OTC,2B,
34,1207,2,1/28/2016,M,7.5,0.740972222,7,IM - OTC,2B,
35,1209,3,1/30/2016,F,6.5,0.741666667,7,IM - OTC,2B,
36,1215,4,1/27/2016,M,6.2,0.742361111,7,IF -OTC,3A,room 4 scours/vomit
37,1208,1,1/29/2016,M,6.8,0.743055556,7,IF -OTC,3A,
38,1211,2,1/30/2013,M,4.9,0.74375,7,IF -OTC,3A,
39,1207,2,1/28/2016,M,6,0.744444444,7,IF -OTC,3B,
40,1212,3,1/31/2016,M,4.3,0.745138889,7,IF -OTC,3B,
41,1214,4,1/30/2016,M,4.4,0.745833333,7,IF -OTC,3B,room 4 scours/vomit
42,1213,5,1/29/2016,F,5.7,0.746527778,7,IF -OTC,3B,
43,1206,1,1/31/2016,M,2.4,0.747222222,14,NON diet ,1A,Milk replacer
44,1212,3,1/31/2016,F,4.5,0.747916667,14,NON diet ,1A,
45,1209,3,1/30/2016,M,7.8,0.748611111,14,NON diet ,1A,
46,1215,4,1/27/2016,M,6.9,0.749305556,14,NON diet ,1A,room 4 scours/vomit
47,1214,4,1/30/2016,F,4.4,0.75,14,NON diet ,1B,room 4 scours/vomit
48,1210,5,1/27/2016,M,6.9,0.750694444,14,NON diet ,1B,
49,1213,5,1/29/2016,M,4.9,0.751388889,14,NON diet ,1B,
50,1211,2,1/30/2016,M,5.1,0.752083333,14,NON diet ,1B,
51,1208,1,1/29/2016,F,7.6,0.752777778,14,IM - OTC,2A,
52,1206,1,1/31/2016,F,3.8,0.753472222,14,IM - OTC,2A,Milk replacer
53,1212,3,1/31/2016,F,5.5,0.754166667,14,IM - OTC,2A,
54,1209,3,1/30/2016,M,7.2,0.754861111,14,IM - OTC,2A,
55,1215,4,1/27/2016,F,6.3,0.755555556,14,IM - OTC,2B,room 4 scours/vomit
56,1214,4,1/30/2016,M,6.4,0.75625,14,IM - OTC,2B,room 4 scours/vomit
57,1210,5,1/27/2016,M,4.7,0.756944444,14,IM - OTC,2B,
58,1213,5,1/29/2016,M,3.7,0.757638889,14,IM - OTC,2B,
59,1208,1,1/29/2016,F,5.9,0.758333333,14,IF -OTC,3A,
60,1211,2,1/30/2013,M,5.4,0.759027778,14,IF -OTC,3A,
61,1206,1,1/31/2016,F,5.4,0.759722222,14,IF -OTC,3A,Milk replacer
62,Euthanized,Euthanized,Euthanized,Euthanized,Euthanized,16:135 ( EUTHANIZED) ,Euthanized,Euthanized,Euthanized,Euthanized
63,1215,4,1/27/2016,F,6.4,0.761111111,14,IF -OTC,3B,room 4 scours/vomit
64,1214,4,1/30/2016,F,4.2,0.761805556,14,IF -OTC,3B,room 4 scours/vomit
65,1210,5,1/27/2016,M,6.3,0.7625,14,IF -OTC,3B,
66,1213,5,1/29/2016,M,4.9,0.763194444,14,IF -OTC,3B,
