Animal ID,Time Point,Nasal
1,D0,NF
1,D1,
1,D3,
1,D4,NF
2,D0,NF
2,D1,
2,D3,
2,D4,NF
3,D0,NF
3,D1,
3,D3,
3,D4,NF
4,D0,NF
4,D1,
4,D3,
4,D4,NF
5,D0,NF
5,D1,
5,D3,
50,D4,1.4
5,D7,NF
5,D9,
5,D11,NF
5,D14,NF
6,D0,NF
6,D1,
6,D3,
6,D4,1.8
7,D0,NF
7,D1,
7,D3,
7,D4,2.8
8,D0,NF
8,D1,
8,D3,
8,D4,NF
9,D0,NF
9,D1,
9,D3,
9,D4,5.1
10,D0,NF
10,D1,
10,D3,
10,D4,NF
11,D0,NF
11,D1,
11,D3,
11,D4,2.5
12,D0,NF
12,D1,
12,D3,
12,D4,7
13,D0,NF
13,D1,
13,D3,
13,D4,7.7
14,D0,NF
14,D1,
14,D4,7
15,D0,NF
15,D1,
15,D3,
15,D4,148.9
16,D0,NF
16,D1,
16,D3,
16,D4,136.2
17,D0,NF
17,D1,
17,D3,
17,D4,114.8
18,D0,NF
18,D1,
18,D3,
18,D4,184.3
19,D0,NF
19,D3,
19,D4,145.7
20,D0,NF
20,D1,
20,D3,
20,D4,150.9
21,D0,NF
21,D1,
21,D3,
21,D4,229.1
22,D0,NF
22,D1,
22,D3,
22,D4,NF
22,D7,4
23,D0,NF
23,D1,
23,D3,
23,D4,<1
23,D7,NF
24,D0,NF
24,D1,
24,D3,
24,D4,NF
24,D7,2.6
25,D0,NF
25,D1,
25,D3,
25,D4,NF
25,D7,NF
26,D0,NF
26,D1,
26,D3,
26,D4,NF
26,D7,<1
27,D0,NF
27,D1,
27,D3,
27,D4,
27,D7,
28,D0,NF
28,D1,
28,D3,
28,D4,NF
28,D7,NF
29,D0,NF
29,D1,
29,D3,
29,D4,5.6
29,D7,1.6
30,D0,NF
30,D1,
30,D3,
30,D4,5.7
30,D7,6.2
31,D0,NF
31,D1,
31,D3,
31,D4,1.2
31,D7,1.6
32,D0,NF
32,D1,
32,D3,
32,D4,7.2
32,D7,11
33,D0,NF
33,D1,
33,D3,
33,D4,6.5
33,D7,3.4
34,D0,NF
34,D1,
34,D3,
34,D4,3.6
34,D7,1.5
35,D0,NF
35,D1,
35,D3,
35,D4,9.5
35,D7,3
36,D0,NF
36,D1,
36,D3,
36,D4,216.4
36,D7,80.3
37,D0,NF
37,D1,
37,D3,
37,D4,151.7
37,D7,104.9
38,D0,NF
38,D1,
38,D3,
38,D4,40.4
38,D7,172.8
39,D0,NF
39,D1,
39,D3,
39,D4,194
39,D7,104.8
40,D0,NF
40,D1,
40,D3,
40,D4,199
40,D7,86.7
41,D0,NF
41,D1,
41,D3,
41,D4,119.7
41,D7,57.9
42,D0,NF
42,D1,
42,D3,
42,D4,180.3
42,D7,370.2
43,D0,NF
43,D1,
43,D3,
43,D4,NF
43,D7,NF
43,D9,
43,D11,NF
43,D14,NF
44,D0,NF
44,D1,
44,D3,
44,D4,NF
44,D7,NF
44,D9,
44,D11,NF
44,D14,NF
45,D0,NF
45,D1,
45,D3,
45,D4,NF
45,D7,4
45,D9,
45,D11,NF
45,D14,NF
46,D0,NF
46,D1,
46,D3,
46,D4,1.2
46,D7,9.4
46,D9,
46,D11,NF
46,D14,NF
47,D0,NF
47,D1,
47,D3,
47,D4,NF
47,D7,NF
47,D9,
47,D11,NF
47,D14,NF
48,D0,NF
48,D1,
48,D3,
48,D4,NF
48,D7,NF
48,D9,
48,D11,NF
48,D14,NF
49,D0,NF
49,D1,
49,D3,
49,D4,NF
49,D7,9.2
49,D9,
49,D11,NF
49,D14,NF
50,D0,NF
50,D1,
50,D3,
50,D4,NF
50,D7,
50,D9,
5,D11,
5,D14,
51,D0,NF
51,D1,
51,D3,
51,D4,6.2
51,D7,3
51,D9,
51,D11,4.5
51,D14,NF
52,D0,NF
52,D1,
52,D3,
52,D4,NF
52,D7,2.7
52,D9,
52,D11,NF
52,D14,NF
53,D0,NF
53,D1,
53,D3,
53,D4,4.7
53,D7,2.9
53,D9,
53,D11,1.5
53,D14,NF
54,D0,NF
54,D1,
54,D3,
54,D4,NF
54,D7,NF
54,D9,
54,D11,NF
54,D14,NF
55,D0,NF
55,D1,
55,D3,
55,D4,6.5
55,D7,2.3
55,D9,
55,D11,3.6
55,D14,NF
56,D0,NF
56,D1,
56,D3,
56,D4,5.8
56,D7,2.6
56,D9,
56,D11,1.9
56,D14,1.1
57,D0,NF
57,D1,
57,D3,
57,D4,7.6
57,D7,4.8
57,D9,
57,D11,3.1
57,D14,1.7
58,D0,NF
58,D1,
58,D3,
58,D4,12.8
58,D7,4.7
58,D9,
58,D11,3
58,D14,1.9
59,D0,NF
59,D1,
59,D3,
59,D4,175.2
59,D7,177.7
59,D9,
59,D11,6.2
59,D14,2.3
60,D0,NF
60,D1,
60,D3,
60,D4,134.4
60,D7,118.9
60,D9,
60,D11,7.7
60,D14,1.7
61,D0,NF
61,D1,
61,D3,
61,D4,103.3
61,D7,69.3
61,D9,
61,D11,3.3
61,D14,2
62,D0,
62,D1,
62,D3,
62,D4,
62,D7,
62,D9,
62,D11,
62,D14,
63,D0,NF
63,D1,
63,D3,
63,D4,345.4
63,D7,99.8
63,D9,
63,D11,NF
63,D14,3
64,D0,NF
64,D1,
64,D3,
64,D4,138.8
64,D7,122.4
64,D9,
64,D11,NF
64,D14,2.9
65,D0,NF
65,D1,
65,D3,
65,D4,225.8
65,D7,219.4
65,D9,
65,D11,NF
65,D14,2.4
66,D0,NF
66,D1,
66,D3,
66,D4,218.6
66,D7,159.6
66,D9,
66,D11,5.5
66,D14,2.5
